year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,enrollment,teachers_fte,school_id,street_location,city_location,fips,longitude,latitude,tract,county_fips_geo,place_fips,free_or_reduced_price_lunch,meps_poverty_pct,meps_poverty_se,meps_poverty_ptl,meps_mod_poverty_pct,meps_mod_poverty_ptl,read_test_pct_prof_midpt,math_test_pct_prof_midpt,salaries_teachers
mixed - most recent,370297002677,Mint Hill Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,923,53,3702677,11501 Idlewild Road,Matthews,North Carolina,-80.69848,35.153045,5711,37119,43480,208,10.1,0.60997,28,10,33,51,45,3094759
mixed - most recent,370297001243,Montclaire Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,546,36,3701243,5801 Farmbrook Dr,Charlotte,North Carolina,-80.867175,35.152243,3102,37119,12000,543,29.2,1.132106,90,29.1,87,15,14,1367359
mixed - most recent,370297002640,Mountain Island Lake Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,732,45,3702640,7905 Pleasant Grove Rd,Charlotte,North Carolina,-80.9285,35.308,6104,37119,12000,329,28.3,1.257873,88,28.2,85,35,23,2671292
mixed - most recent,370297001244,Myers Park High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,3539,173,3701244,2400 Colony Rd,Charlotte,North Carolina,-80.832668,35.170971,2906,37119,12000,633,0,1.215595,1,0,1,75,81,8261447
mixed - most recent,370297001245,Myers Park Traditional Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,607,39,3701245,2132 Radcliffe Ave,Charlotte,North Carolina,-80.8345,35.1902,2702,37119,12000,154,3.9,1.739396,10,3.8,12,57,55,1871922
mixed - most recent,370297001246,Nations Ford Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,709,45,3701246,7050 Nations Ford Rd,Charlotte,North Carolina,-80.906134,35.156178,3806,37119,12000,706,33.4,0.995417,99,33.3,93,13,12,2503707
mixed - most recent,370297003623,New Southeast Elementary Relief School,NC,Charlotte-Mecklenburg Schools,Missing/not reported,Regular school,No,,,3703623,11615 Idlewild Road,Matthews,North Carolina,-80.698415,35.15078,5711,37119,43480,,,,,,,,,
mixed - most recent,370297001247,Newell Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,715,47,3701247,325 Rocky River Road West,Charlotte,North Carolina,-80.753691,35.286611,5604,37119,12000,712,31.6,1.010627,96,31.5,91,19,14,2417734
mixed - most recent,370297003557,North Academy of World Languages,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,368,29,3703557,12201 Hambright Rd,Huntersville,North Carolina,-80.834737,35.377981,6302,37119,33120,77,,,,,,,,
mixed - most recent,370297001248,North Mecklenburg High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,2095,115,3701248,11201 Old Statesville Rd,Huntersville,North Carolina,-80.833704,35.372964,6302,37119,33120,544,13.9,0.944606,41,13.8,45,56,61,6703816
mixed - most recent,370297001249,Northeast Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,572,39,3701249,5960 Brickstone Dr,Mint Hill,North Carolina,-80.691777,35.198073,1917,37119,43480,209,32.6,1.130643,98,32.4,92,35,20,1641933
mixed - most recent,370297001889,Northridge Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,1041,59,3701889,7601 The Plaza,Charlotte,North Carolina,-80.7307,35.2598,5616,37119,12000,398,33,1.129132,98,32.9,93,35,23,1960297
mixed - most recent,370297001250,Northwest School of the Arts,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,1039,59,3701250,1415 Beatties Ford Rd,Charlotte,North Carolina,-80.8567,35.2571,4600,37119,12000,195,16.2,1.147537,49,16.1,52,70,54,3318415
mixed - most recent,370297001251,Oakdale Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,449,37,3701251,1825 Oakdale Rd,Charlotte,North Carolina,-80.8969,35.3007,6104,37119,12000,446,31.4,1.018444,95,31.2,90,15,7,1674841
mixed - most recent,370297003368,Oakhurst STEAM Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,529,36,3703368,4511 Monroe Rd,Charlotte,North Carolina,-80.783729,35.195032,1802,37119,12000,526,34.7,1.077852,100,34.6,94,31,28,1644306
mixed - most recent,370297002737,Oaklawn Language Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,545,43,3702737,1810 Oaklawn Ave,Charlotte,North Carolina,-80.8503,35.2512,4800,37119,12000,144,22.3,0.804596,71,22.2,71,40,37,2116603
mixed - most recent,370297001254,Olde Providence Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,639,41,3701254,3800 Rea Rd,Charlotte,North Carolina,-80.7988,35.1106,3013,37119,12000,48,1,0.946466,6,0.9,4,76,79,2003269
mixed - most recent,370297003622,Olympic High Relief School,NC,Charlotte-Mecklenburg Schools,Missing/not reported,Regular school,No,,,3703622,14947 York Road,Charlotte,North Carolina,-81.020857,35.091529,5911,37119,,,,,,,,,,
mixed - most recent,370297001255,Olympic High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,2607,136,3701255,4301 Sandy Porter Rd,Charlotte,North Carolina,-80.952276,35.157999,5912,37119,12000,585,13,0.52829,38,12.9,42,55,50,
mixed - most recent,370297003310,Palisades Park Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,821,44,3703310,15321 York Rd,Charlotte,North Carolina,-81.0259,35.0936,5911,37119,,122,9.2,0.580657,25,9.1,30,59,57,2148224
mixed - most recent,370297001256,Park Road Montessori,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,504,30,3701256,3701 Haven Dr,Charlotte,North Carolina,-80.8488,35.1775,3204,37119,12000,29,5.5,1.135063,14,5.4,18,72,60,1436130
mixed - most recent,370297003369,Parkside Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,377,25,3703369,2945 Johnston-Oehler Rd,Charlotte,North Carolina,-80.760935,35.360772,5518,37119,12000,154,13.7,0.595602,40,13.6,45,57,42,1273792
mixed - most recent,370297001257,Paw Creek Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,727,45,3701257,1300 Cathey Rd,Charlotte,North Carolina,-80.9452,35.2911,6010,37119,12000,724,34.7,1.208179,100,34.6,94,30,27,1840028
mixed - most recent,370297002842,Performance Learning Center,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,73,14,3702842,2300 W Sugar Creek Road,Charlotte,North Carolina,-80.79681,35.295031,5524,37119,12000,35,30.9,0.962898,94,30.8,90,10,30,702334
mixed - most recent,370297002641,Phillip O. Berry Academy of Technology,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,1723,93,3702641,1430 Alleghany St,Charlotte,North Carolina,-80.8917,35.2392,4000,37119,12000,497,18.9,1.068795,59,18.8,61,57,53,4414245
mixed - most recent,370297001259,Piedmont Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,1090,48,3701259,1241 E 10th St,Charlotte,North Carolina,-80.8239,35.2232,800,37119,12000,224,13.7,0.947699,40,13.6,45,77,67,2469282
mixed - most recent,370297001260,Pineville Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,715,48,3701260,204 Lowry St,Pineville,North Carolina,-80.887937,35.082361,5825,37119,52220,228,16.8,0.684323,51,16.7,54,41,39,2380390
mixed - most recent,370297001261,Pinewood Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,526,36,3701261,805 Seneca Pl,Charlotte,North Carolina,-80.864,35.1662,3103,37119,12000,523,30.6,1.06074,94,30.5,89,19,19,1397511
mixed - most recent,370297001262,Piney Grove Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,762,47,3701262,8801 Eaglewind Dr,Charlotte,North Carolina,-80.7311,35.1731,1921,37119,12000,759,32,1.01478,97,31.9,91,23,22,2337623
mixed - most recent,370297003032,Polo Ridge Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,572,40,3703032,11830 Tom Short Rd,Charlotte,North Carolina,-80.7951,35.0469,5845,37119,12000,17,0,0.980254,1,0,1,82,83,2892108
mixed - most recent,370297002220,Providence High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,2025,100,3702220,1800 Pineville-Matthews Rd,Charlotte,North Carolina,-80.7639,35.1103,3016,37119,12000,105,2.7,0.523527,8,2.6,8,88,89,5283348
mixed - most recent,370297002642,Providence Spring Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,578,37,3702642,10045 Providence Church Ln,Charlotte,North Carolina,-80.7698,35.0728,5847,37119,12000,4,0,1.214851,1,0,1,81,82,2647533
mixed - most recent,370297001264,Quail Hollow Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,1193,70,3701264,2901 Smithfield Church Rd,Charlotte,North Carolina,-80.8547,35.1139,3012,37119,12000,455,26.7,1.446529,84,26.6,81,30,24,2536841
mixed - most recent,370297001265,Rama Road Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,508,38,3701265,1035 Rama Rd,Charlotte,North Carolina,-80.7723,35.1697,2002,37119,12000,505,26.3,1.396793,83,26.2,80,26,24,1875343
mixed - most recent,370297001266,Randolph Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,1138,61,3701266,4400 Water Oak Rd,Charlotte,North Carolina,-80.7946,35.1842,2200,37119,12000,222,10.5,0.968006,30,10.4,34,77,64,2992065
mixed - most recent,370297001267,Ranson Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,854,58,3701267,5850 Statesville Rd,Charlotte,North Carolina,-80.8389,35.3003,5403,37119,12000,846,32.6,1.132529,98,32.5,92,18,12,2305839
mixed - most recent,370297003517,Rea Farms STEAM Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,961,64,3703517,11532 Golf Links Drive,Charlotte,North Carolina,-80.779535,35.054867,5845,37119,12000,69,,,,,,76,80,
mixed - most recent,370297002170,Reedy Creek Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,915,53,3702170,10801 Plaza Rd Ext,Charlotte,North Carolina,-80.6843,35.2602,5618,37119,12000,329,18.9,0.664042,59,18.8,61,34,25,2351378
mixed - most recent,370297001212,Reid Park Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,364,24,3701212,4108 W Tyvola Rd,Charlotte,North Carolina,-80.9054,35.205,3902,37119,12000,361,33.7,0.993146,99,33.6,93,27,17,2631602
mixed - most recent,370297003417,Renaissance West STEAM Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,674,53,3703417,3241 New Renaissance Way,Charlotte,North Carolina,-80.920803,35.207655,3903,37119,12000,671,34.3,1.001597,100,34.2,94,14,9,1028443
mixed - most recent,370297003121,Ridge Road Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,1113,64,3703121,7260 Highland Creek Pkwy,Charlotte,North Carolina,-80.7627,35.3762,5519,37119,12000,411,13.3,0.677882,39,13.2,43,38,20,2961854
mixed - most recent,370297003123,River Gate Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,675,41,3703123,15340 Smith Rd,Charlotte,North Carolina,-80.9772,35.0875,5918,37119,12000,186,12.2,0.472815,35,12.1,40,42,46,2099812
mixed - most recent,370297003128,River Oaks Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,558,34,3703128,1015 Mt Holly-Huntersville Rd,Charlotte,North Carolina,-80.9786,35.3083,6007,37119,12000,264,30,1.097703,92,29.9,88,28,17,1643485
mixed - most recent,370297003173,Rocky River High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,1549,83,3703173,10505 Clear Creek Commerce Dr,Mint Hill,North Carolina,-80.640044,35.214252,5706,37119,43480,542,16.6,0.663759,50,16.5,54,35,31,4237847
mixed - most recent,370297001269,Sedgefield Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,508,38,3701269,2700 Dorchester Pl,Charlotte,North Carolina,-80.8559,35.1968,3300,37119,12000,505,25.6,1.342879,81,25.5,79,38,33,1944468
mixed - most recent,370297001270,Selwyn Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,618,41,3701270,2840 Colony Rd,Charlotte,North Carolina,-80.8348,35.1678,2906,37119,12000,69,0,1.243577,1,0,1,75,80,2322317
mixed - most recent,370297001271,Shamrock Gardens Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,427,29,3701271,1900 Newcastle St,Charlotte,North Carolina,-80.842213,35.258941,4800,37119,12000,424,33.7,1.216898,99,33.6,93,46,38,1643635
mixed - most recent,370297001272,Sharon Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,756,51,3701272,4330 Foxcroft Rd,Charlotte,North Carolina,-80.8175,35.153,2903,37119,12000,45,0,1.381274,1,0,1,75,80,2339764
mixed - most recent,370297000889,Smithfield Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,608,41,3700889,3200 Smithfield Church Rd,Charlotte,North Carolina,-80.8512,35.1107,3012,37119,12000,160,9.5,0.815044,26,9.4,31,48,44,1896506
mixed - most recent,370297001273,South Academy of International Languages,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,1226,80,3701273,8300 Nations Ford Rd,Charlotte,North Carolina,-80.895425,35.140321,3807,37119,12000,151,15.4,0.896347,46,15.3,50,60,59,4411779
mixed - most recent,370297000632,South Charlotte Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,835,41,3700632,8040 Strawberry Ln,Charlotte,North Carolina,-80.799,35.0906,5815,37119,12000,63,0.4,1.037607,5,0.3,3,64,65,2366178
mixed - most recent,370297001274,South Mecklenburg High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,3259,167,3701274,8900 Park Rd,Charlotte,North Carolina,-80.859333,35.109707,5828,37119,12000,715,9.6,1.024422,27,9.5,31,66,71,8188880
mixed - most recent,370297003558,South Pine Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,494,40,3703558,2541 Sandy Porter Rd,Charlotte,North Carolina,-80.943681,35.136558,5913,37119,12000,174,,,,,,,,
mixed - most recent,370297002678,Southwest Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,1328,78,3702678,13624 Steele Creek Rd,Charlotte,North Carolina,-80.9907,35.1072,5910,37119,12000,374,14.8,0.68459,44,14.7,48,36,23,3649759
mixed - most recent,370297003356,Starmount Academy of Excellence,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,435,33,3703356,1600 Brookdale Ave,Charlotte,North Carolina,-80.870705,35.140021,3106,37119,12000,183,30,1.097245,92,29.9,88,14,6,1459375
mixed - most recent,370297001277,Statesville Road Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,449,31,3701277,5521 Milhaven Ln,Charlotte,North Carolina,-80.846628,35.296079,5401,37119,12000,446,33.7,1.088107,99,33.6,93,21,12,1776737
mixed - most recent,370297001278,Steele Creek Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,492,36,3701278,4100 Gallant Ln,Charlotte,North Carolina,-80.9557,35.1569,5912,37119,12000,177,19.6,0.773958,61,19.5,63,25,24,2468432
mixed - most recent,370297001279,Sterling Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,698,49,3701279,9601 China Grove Church Rd,Pineville,North Carolina,-80.8849,35.1073,5824,37119,12000,695,33,0.995995,98,32.9,93,13,11,1962521
mixed - most recent,370297003131,Stoney Creek Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,786,49,3703131,14015 Mallard Roost Rd,Charlotte,North Carolina,-80.7253,35.3483,5521,37119,,780,28.7,1.172857,89,28.6,86,27,23,2345497
mixed - most recent,370297001280,Thomasboro Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,584,46,3701280,538 Bradford Dr,Charlotte,North Carolina,-80.8987,35.2547,4302,37119,12000,581,32.6,0.983414,98,32.5,92,19,11,2375797
mixed - most recent,370297002785,Torrence Creek Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,685,49,3702785,14550 Ranson Rd,Huntersville,North Carolina,-80.8727,35.4122,6212,37119,33120,133,9.5,0.47154,26,9.4,31,46,54,1664573
mixed - most recent,370297003311,Trillium Springs Montessori,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,204,15,3703311,9213 Beatties Ford Rd,Huntersville,North Carolina,-80.8908,35.3495,6105,37119,,15,10.3,1.069249,29,10.2,34,72,57,610826
mixed - most recent,370297001282,Tuckaseegee Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,581,41,3701282,2028 Little Rock Rd,Charlotte,North Carolina,-80.942,35.2495,6006,37119,12000,578,33.9,1.085013,99,33.8,94,31,34,2346655
mixed - most recent,370297000871,Turning Point Academy,NC,Charlotte-Mecklenburg Schools,High,Other/alternative school,No,50,28,3700871,8701 Moores Chapel Rd,Charlotte,North Carolina,-80.950755,35.273766,6006,37119,12000,47,31.1,1.025876,95,31,90,10,10,1136475
mixed - most recent,370297000652,University Meadows Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,716,39,3700652,1600 Pavilion Blvd,Charlotte,North Carolina,-80.7145,35.3155,5609,37119,12000,713,31.4,1.031212,96,31.3,91,30,26,1759242
mixed - most recent,370297001893,University Park Creative Arts,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,339,25,3701893,2400 Hildebrand St,Charlotte,North Carolina,-80.8592,35.2608,4600,37119,12000,336,35.1,1.076946,100,35,95,27,7.5,1681928
mixed - most recent,370297003419,Vaughan Academy of Technology,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,344,24,3703419,8601 Old Concord Rd,Charlotte,North Carolina,-80.733883,35.285612,5605,37119,12000,105,18.2,0.838345,56,18.1,59,47,32,1214506
mixed - most recent,370297003466,Villa Heights Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,122,9,3703466,800 Everett Place,Charlotte,North Carolina,-80.812768,35.236843,900,37119,12000,119,30.4,1.005073,93,30.3,89,34.5,24.5,
mixed - most recent,370297002660,Walter G. Byers School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,369,38,3702660,1415 Hamilton St,Charlotte,North Carolina,-80.8414,35.244,4900,37119,12000,366,35.5,1.064535,100,35.4,95,27,18,1808979
mixed - most recent,370297001285,West Charlotte High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,1453,96,3701285,2219 Senior Dr,Charlotte,North Carolina,-80.8585,35.2654,4600,37119,12000,1450,34.1,1.177688,100,34,94,34,33,4406914
mixed - most recent,370297001286,West Mecklenburg High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,1211,75,3701286,7400 Tuckaseegee Rd,Charlotte,North Carolina,-80.952168,35.2474,6006,37119,12000,1201,31.3,0.983224,95,31.2,90,35,42,4752255
mixed - most recent,370297001287,Westerly Hills Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,392,26,3701287,4420 Denver Ave,Charlotte,North Carolina,-80.9115,35.2319,4000,37119,12000,389,32.4,0.987068,98,32.3,92,17,12,2089587
mixed - most recent,370297003018,Whitewater Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,764,50,3703018,11600 White Rapids Rd,Charlotte,North Carolina,-80.990404,35.283354,6005,37119,,761,32.1,1.012468,97,32,91,28,25,2331580
mixed - most recent,370297003146,Whitewater Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,748,47,3703146,10201 Running Rapids Rd,Charlotte,North Carolina,-80.992153,35.283355,6005,37119,,733,32.4,1.132756,98,32.3,92,25,24,2297815
mixed - most recent,370297003175,William Amos Hough High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,2470,116,3703175,12420 Bailey Rd,Cornelius,North Carolina,-80.828093,35.468143,6405,37119,14700,166,1.9,0.662185,7,1.8,5,81,83,6461675
mixed - most recent,370297003416,Williams Secondary Montessori,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,366,23,3703416,2400 Carmine St,Charlotte,North Carolina,-80.841373,35.266666,5100,37119,12000,24,12.3,1.235187,36,12.2,40,78,67,657128
mixed - most recent,370297003468,Wilson STEM Academy,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,431,32,3703468,7020 Tuckaseegee Rd,Charlotte,North Carolina,-80.945873,35.249377,6006,37119,12000,428,32.6,1.107113,98,32.5,92,22,11,
mixed - most recent,370297001601,Winding Springs Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,742,46,3701601,6601 Horace Mann Rd,Charlotte,North Carolina,-80.8286,35.3064,5403,37119,12000,739,32,1.014263,97,31.9,91,24,21,2697894
mixed - most recent,370297001290,Windsor Park Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,510,33,3701290,3910 Sudbury Rd,Charlotte,North Carolina,-80.7599,35.2232,1606,37119,12000,507,33.3,0.985013,99,33.2,93,30,32,2139986
mixed - most recent,370297002857,Winget Park Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,652,42,3702857,12235 Winget Rd,Charlotte,North Carolina,-81.0005,35.1308,5909,37119,12000,116,11.8,1.016755,34,11.7,39,43,40,1846085
mixed - most recent,370297001291,Winterfield Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,615,37,3701291,3100 Winterfield Pl,Charlotte,North Carolina,-80.767,35.208,1702,37119,12000,612,33.4,0.994346,99,33.3,93,16,12,2132717
