GEOID,Total,Elementary,Middle,High,STATEFP20,COUNTYFP20,TRACTCE20,Total Students,Grade_Cluster_Elementary,Grade_Cluster_Middle,Grade_Cluster_High,market_share_total,market_share_elementary,market_share_middle,market_share_high,replaced_by_county_ms_elementary,replaced_by_county_ms_middle,replaced_by_county_ms_high
37119001922,5332,447,295,459,37,119,001922,775,340,195,240,0.14534883720930233,0.7606263982102909,0.6610169491525424,0.5228758169934641,0,0,0
37119001923,4209,263,240,227,37,119,001923,539,254,123,162,0.12805892135899263,0.9657794676806084,0.5125,0.7136563876651982,0,0,0
37119001924,2360,183,147,240,37,119,001924,648,308,159,181,0.2745762711864407,0.6925395620184098,0.46119611095851776,0.7541666666666667,1,1,0
37119001925,4784,454,172,308,37,119,001925,735,361,153,221,0.1536371237458194,0.7951541850220264,0.8895348837209303,0.7175324675324676,0,0,0
37119001926,3374,163,370,79,37,119,001926,418,187,94,137,0.12388855957320688,0.6925395620184098,0.25405405405405407,0.5956669683734754,1,0,1
37119001927,3138,241,122,232,37,119,001927,504,248,103,153,0.16061185468451242,0.6925395620184098,0.8442622950819673,0.6594827586206896,1,0,0
37119002004,5666,425,420,338,37,119,002004,511,232,119,160,0.09018708083303918,0.5458823529411765,0.2833333333333333,0.47337278106508873,0,0,0
37119002005,2736,175,116,197,37,119,002005,188,84,28,76,0.06871345029239766,0.48,0.2413793103448276,0.38578680203045684,0,0,0
37119002006,3654,252,331,272,37,119,002006,387,173,78,136,0.10591133004926108,0.6865079365079365,0.23564954682779457,0.5,0,0,0
37119002007,2426,198,53,38,37,119,002007,270,124,55,91,0.11129431162407255,0.6262626262626263,0.46119611095851776,0.5956669683734754,0,1,1
37119002008,2944,157,157,75,37,119,002008,261,125,50,86,0.08865489130434782,0.7961783439490446,0.3184713375796178,0.5956669683734754,0,0,1
37119002100,3053,165,87,100,37,119,002100,294,133,72,89,0.09629872256796594,0.806060606060606,0.8275862068965517,0.89,0,0,0
37119002201,2678,178,284,126,37,119,002201,370,142,84,144,0.13816280806572068,0.797752808988764,0.29577464788732394,0.5956669683734754,0,0,1
37119002202,3155,98,208,131,37,119,002202,260,105,56,99,0.08240887480190175,0.6925395620184098,0.2692307692307692,0.7557251908396947,1,0,0
37119002300,3197,402,243,224,37,119,002300,624,278,149,197,0.19518298404754458,0.6915422885572139,0.6131687242798354,0.8794642857142857,0,0,0
37119002400,3163,91,112,88,37,119,002400,184,87,43,54,0.058172620929497314,0.9560439560439561,0.38392857142857145,0.6136363636363636,0,0,0
37119002500,2157,34,71,76,37,119,002500,77,42,14,21,0.03569772832637923,0.6925395620184098,0.19718309859154928,0.27631578947368424,1,0,0
37119002600,1279,61,43,30,37,119,002600,115,62,17,36,0.08991399530883502,0.6925395620184098,0.3953488372093023,0.5956669683734754,1,0,1
37119002701,3028,78,181,161,37,119,002701,78,37,9,32,0.025759577278731835,0.47435897435897434,0.049723756906077346,0.19875776397515527,0,0,0
37119002702,5912,461,425,473,37,119,002702,455,189,88,178,0.07696211096075778,0.40997830802603036,0.20705882352941177,0.3763213530655391,0,0,0
37119002800,3892,353,250,212,37,119,002800,215,89,34,92,0.0552415210688592,0.2521246458923513,0.136,0.4339622641509434,0,0,0
37119002903,4021,121,398,235,37,119,002903,337,155,80,102,0.08380999751305646,0.6925395620184098,0.20100502512562815,0.4340425531914894,1,0,0
37119002905,3197,282,262,246,37,119,002905,345,136,54,155,0.1079136690647482,0.48226950354609927,0.20610687022900764,0.6300813008130082,0,0,0
37119002907,3798,337,294,129,37,119,002907,345,153,75,117,0.09083728278041074,0.4540059347181009,0.25510204081632654,0.9069767441860465,0,0,0
37119002908,3332,294,178,187,37,119,002908,389,164,95,130,0.1167466986794718,0.5578231292517006,0.5337078651685393,0.6951871657754011,0,0,0
37119002909,1760,52,177,96,37,119,002909,154,53,31,70,0.0875,0.6925395620184098,0.1751412429378531,0.7291666666666666,1,0,0
37119002910,3184,169,94,181,37,119,002910,345,159,70,116,0.10835427135678392,0.9408284023668639,0.7446808510638298,0.6408839779005525,0,0,0
37119003006,4615,324,189,238,37,119,003006,549,247,124,178,0.11895991332611051,0.7623456790123457,0.656084656084656,0.7478991596638656,0,0,0
37119003008,6533,603,450,399,37,119,003008,591,275,121,195,0.09046379917342721,0.4560530679933665,0.2688888888888889,0.48872180451127817,0,0,0
37119003012,4200,281,352,189,37,119,003012,497,241,103,153,0.11833333333333333,0.8576512455516014,0.29261363636363635,0.8095238095238095,0,0,0
37119003013,4944,227,531,372,37,119,003013,736,376,149,211,0.1488673139158576,0.6925395620184098,0.2806026365348399,0.5672043010752689,1,0,0
37119003015,5487,297,431,255,37,119,003015,465,208,104,153,0.0847457627118644,0.7003367003367004,0.24129930394431554,0.6,0,0,0
37119003016,4677,365,417,377,37,119,003016,818,318,182,318,0.17489843917040837,0.8712328767123287,0.4364508393285372,0.843501326259947,0,0,0
37119003017,3759,280,201,282,37,119,003017,460,201,117,142,0.12237297153498271,0.7178571428571429,0.582089552238806,0.5035460992907801,0,0,0
37119003018,2481,143,92,213,37,119,003018,282,114,69,99,0.11366384522370013,0.7972027972027972,0.75,0.4647887323943662,0,0,0
37119003019,1960,325,104,46,37,119,003019,295,134,74,87,0.15051020408163265,0.4123076923076923,0.7115384615384616,0.5956669683734754,0,0,1
37119003020,4289,360,373,310,37,119,003020,352,169,87,96,0.08207041268360923,0.46944444444444444,0.23324396782841822,0.3096774193548387,0,0,0
37119003021,2995,246,403,236,37,119,003021,259,147,53,59,0.08647746243739567,0.5975609756097561,0.1315136476426799,0.25,0,0,0
37119003022,4027,301,615,160,37,119,003022,339,176,67,96,0.08418177303203377,0.584717607973422,0.10894308943089431,0.6,0,0,0
37119003102,4095,117,71,124,37,119,003102,495,258,113,124,0.12087912087912088,0.6925395620184098,0.46119611095851776,1,1,1,0
37119003105,3793,93,109,285,37,119,003105,292,140,58,94,0.07698391774321117,0.6925395620184098,0.5321100917431193,0.3298245614035088,1,0,0
37119003106,4861,395,263,202,37,119,003106,567,289,119,159,0.1166426661180827,0.7316455696202532,0.4524714828897338,0.7871287128712872,0,0,0
37119003108,3762,254,273,167,37,119,003108,501,250,118,133,0.1331738437001595,0.984251968503937,0.43223443223443225,0.7964071856287425,0,0,0
37119003109,4151,272,338,319,37,119,003109,812,380,190,242,0.19561551433389546,0.6925395620184098,0.5621301775147929,0.7586206896551724,1,0,0
37119003110,2205,41,76,19,37,119,003110,121,48,29,44,0.05487528344671202,0.6925395620184098,0.3815789473684211,0.5956669683734754,1,0,1
37119003111,3309,351,150,78,37,119,003111,168,81,32,55,0.050770625566636446,0.23076923076923078,0.21333333333333335,0.7051282051282052,0,0,0
37119003201,2807,100,133,138,37,119,003201,342,172,87,83,0.1218382614891343,0.6925395620184098,0.6541353383458647,0.6014492753623188,1,0,0
37119003203,2520,88,53,24,37,119,003203,241,117,59,65,0.09563492063492063,0.6925395620184098,0.46119611095851776,0.5956669683734754,1,1,1
37119003204,3244,181,90,128,37,119,003204,315,160,57,98,0.0971023427866831,0.8839779005524862,0.6333333333333333,0.765625,0,0,0
37119003301,1260,14,0,35,37,119,003301,47,20,12,15,0.0373015873015873,0.6925395620184098,0.46119611095851776,0.42857142857142855,1,1,0
37119003302,2632,71,96,62,37,119,003302,226,126,37,63,0.0858662613981763,0.6925395620184098,0.3854166666666667,0.5956669683734754,1,0,1
37119003401,1801,56,71,72,37,119,003401,135,79,27,29,0.07495835646862854,0.6925395620184098,0.38028169014084506,0.4027777777777778,1,0,0
37119003402,4023,140,233,247,37,119,003402,402,187,83,132,0.09992542878448919,0.6925395620184098,0.3562231759656652,0.5344129554655871,1,0,0
37119003500,2674,73,92,121,37,119,003500,171,84,32,55,0.06394913986537024,0.6925395620184098,0.34782608695652173,0.45454545454545453,1,0,0
37119003600,3512,98,110,61,37,119,003600,323,169,72,82,0.09197038724373577,0.6925395620184098,0.6545454545454545,0.5956669683734754,1,0,1
