geoid,ncessch,school_name,street_location,city_location,enrollment,school_level,school_type,school_age_kids_in_tract,scl_pct_nonwhite,tract_pct_nonwhite,market_share_total,percent_frl_eligible,meps_poverty_pct,student_teacher_ratio,test_sfh_pct,median_gross_rent,median_owner_cost_mortgage,percent_owner_occupied,percent_renter_occupied
37119005828,370297001274,South Mecklenburg High School,8900 Park Rd,Charlotte,3259,High,Regular school,731,69.9,13.4,0.0719059075113606,22,9.6,19.5,51,1313,1515,82,18
37119005913,370297003558,South Pine Academy,2541 Sandy Porter Rd,Charlotte,494,Primary,Regular school,1512,96.4,74.2,0.15015882183078255,35,NA,12.3,75,1303,1257,69,31
37119005910,370297002678,Southwest Middle School,13624 Steele Creek Rd,Charlotte,1328,Middle,Regular school,1600,87,78.3,0.15432300163132137,28,14.8,17,52,1359,1519,40,60
37119003106,370297003356,Starmount Academy of Excellen,1600 Brookdale Ave,Charlotte,435,Primary,Regular school,1501,97,55.4,0.1166426661180827,42,30,13.2,46,1161,1589,72,28
37119005405,370297001277,Statesville Road Elementary,5521 Milhaven Ln,Charlotte,449,Primary,Regular school,658,98.9,94.7,0.21132208157524612,99,33.7,14.5,75,1252,1014,64,36
37119005928,370297001278,Steele Creek Elementary,4100 Gallant Ln,Charlotte,492,Primary,Regular school,263,95.9,58.7,0.16517590936195586,36,19.6,13.7,94,NA,1235,85,15
37119005824,370297001279,Sterling Elementary,9601 China Grove Church Rd,Pineville,698,Primary,Regular school,1826,97.9,72.5,0.18930301116024423,100,33,14.2,58,1256,1831,63,37
37119005531,370297003131,Stoney Creek Elementary,14015 Mallard Roost Rd,Charlotte,786,Primary,Regular school,1513,95.9,51.1,0.09458993797381116,99,28.7,16,61,1238,1605,57,43
37119004302,370297001280,Thomasboro Academy,538 Bradford Dr,Charlotte,584,Primary,Regular school,1605,98.3,94.3,0.16090482287665386,99,32.6,12.7,67,1029,876,40,60
37119006212,370297002785,Torrence Creek Elementary,14550 Ranson Rd,Huntersville,685,Primary,Regular school,927,52.8,34.5,0.1018760389456186,19,9.5,14,54,1473,1821,54,46
37119006105,370297003311,Trillium Springs Montessori,9213 Beatties Ford Rd,Huntersville,204,Primary,Regular school,725,58.3,69.8,0.12630117973629423,7,10.3,13.6,97,1652,1558,72,28
37119006012,370297001282,Tuckaseegee Elementary,2028 Little Rock Rd,Charlotte,581,Primary,Regular school,1236,97.8,68.4,0.1777127325946059,99,33.9,14.2,97,1347,1207,83,17
37119006012,370297000871,Turning Point Academy,8701 Moores Chapel Rd,Charlotte,50,High,Other/alternative school,1236,98,68.4,0.1777127325946059,94,31.1,1.8,97,1347,1207,83,17
37119005609,370297000652,University Meadows Elementary,1600 Pavilion Blvd,Charlotte,716,Primary,Regular school,301,95.3,72.1,0.06049417779040046,100,31.4,18.4,0,875,NA,6,94
37119004600,370297001893,University Park Creative Arts,2400 Hildebrand St,Charlotte,339,Primary,Regular school,492,98.5,97.8,0.1683406990759341,99,35.1,13.6,80,1100,883,46,54
37119005623,370297003419,Vaughan Academy of Technology,8601 Old Concord Rd,Charlotte,344,Primary,Regular school,530,94.2,77.1,0.08715028472394157,31,18.2,14.3,21,1216,1603,18,82
37119000900,370297003466,Villa Heights Elementary,800 Everett Place,Charlotte,122,Primary,Regular school,243,80.3,54.2,0.04952076677316294,98,30.4,13.6,74,1343,1955,63,37
37119004900,370297002660,Walter G. Byers School,1415 Hamilton St,Charlotte,369,Primary,Regular school,131,98.6,94.4,0.10820451843043996,99,35.5,9.7,94,1125,1197,75,25
37119004600,370297001285,West Charlotte High School,2219 Senior Dr,Charlotte,1453,High,Regular school,492,98.1,97.8,0.1683406990759341,100,34.1,15.1,80,1100,883,46,54
37119006012,370297001286,West Mecklenburg High School,7400 Tuckaseegee Rd,Charlotte,1211,High,Regular school,1236,96.9,68.4,0.1777127325946059,99,31.3,16.1,97,1347,1207,83,17
37119004000,370297001287,Westerly Hills Academy,4420 Denver Ave,Charlotte,392,Primary,Regular school,1199,98.2,85.6,0.1504046762589928,99,32.4,15.1,66,1073,886,46,54
37119006005,370297003018,Whitewater Academy,11600 White Rapids Rd,Charlotte,764,Primary,Regular school,921,92.5,59.7,0.1762680025046963,100,32.1,15.3,87,788,1238,82,18
37119006005,370297003146,Whitewater Middle,10201 Running Rapids Rd,Charlotte,748,Middle,Regular school,921,94.5,59.7,0.1762680025046963,98,32.4,15.9,87,788,1238,82,18
37119006409,370297003175,William Amos Hough High,12420 Bailey Rd,Cornelius,2470,High,Regular school,578,29.7,7.7,0.11147433801896044,7,1.9,21.3,59,1221,2120,72,28
37119005100,370297003416,Williams Secondary Montessori,2400 Carmine St,Charlotte,366,High,Regular school,208,35.2,89.9,0.13330258302583026,7,12.3,15.9,62,915,821,30,70
37119006012,370297003468,Wilson STEM Academy,7020 Tuckaseegee Rd,Charlotte,431,Middle,Regular school,1236,97.4,68.4,0.1777127325946059,99,32.6,13.5,97,1347,1207,83,17
37119005403,370297001601,Winding Springs Elementary,6601 Horace Mann Rd,Charlotte,742,Primary,Regular school,1605,97.6,90.1,0.15,100,32,16.1,86,1126,1115,65,35
37119001606,370297001290,Windsor Park Elementary,3910 Sudbury Rd,Charlotte,510,Primary,Regular school,1574,96.7,74.7,0.1223529411764706,99,33.3,15.5,56,1088,1309,37,63
37119005924,370297002857,Winget Park Elementary,12235 Winget Rd,Charlotte,652,Primary,Regular school,1844,72.2,58.8,0.11595047341587764,18,11.8,15.5,91,1737,1828,79,21
37119001702,370297001291,Winterfield Elementary,3100 Winterfield Pl,Charlotte,615,Primary,Regular school,2696,97.4,75,0.13512731481481485,100,33.4,16.6,44,1024,1272,38,62
